state,year,month,level,name,registeredUsers,source_file
Andaman & Nicobar Islands,2018,2,pincode,744103,2188,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,pincode,744101,1521,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,pincode,744105,1492,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,pincode,744102,1419,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,pincode,744104,396,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,pincode,744202,343,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,pincode,744112,299,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,pincode,744107,293,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,pincode,744301,273,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,2,pincode,744211,240,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\2.json
Andaman & Nicobar Islands,2018,3,district,south andaman,10474,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,district,north and middle andaman,1208,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,district,nicobars,467,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744103,2741,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744101,1978,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744105,1935,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744102,1803,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744104,507,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744202,446,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744112,388,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744107,384,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744301,372,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,3,pincode,744211,327,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\3.json
Andaman & Nicobar Islands,2018,4,district,south andaman,13133,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,district,north and middle andaman,1553,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,district,nicobars,536,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744103,3373,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744101,2498,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744105,2416,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744102,2231,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744104,634,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744202,554,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744107,548,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744112,496,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744211,433,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2018,4,pincode,744301,425,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2018\4.json
Andaman & Nicobar Islands,2019,1,district,south andaman,15961,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,district,north and middle andaman,2013,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,district,nicobars,622,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744103,4136,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744101,3030,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744105,2994,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744102,2667,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744104,756,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744202,753,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744107,667,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744112,585,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744211,524,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,1,pincode,744301,488,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\1.json
Andaman & Nicobar Islands,2019,2,district,south andaman,18621,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,district,north and middle andaman,2417,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,district,nicobars,693,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744103,4748,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744101,3631,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744105,3547,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744102,3008,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744202,885,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744104,878,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744107,787,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744112,672,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744211,633,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,2,pincode,744301,534,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\2.json
Andaman & Nicobar Islands,2019,3,district,south andaman,20518,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,district,north and middle andaman,2662,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,district,nicobars,751,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744103,5218,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744101,4026,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744105,3920,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744102,3250,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744202,982,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744104,975,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744107,885,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744112,765,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744211,701,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,3,pincode,744301,575,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\3.json
Andaman & Nicobar Islands,2019,4,district,south andaman,22202,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,district,north and middle andaman,2955,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,district,nicobars,803,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744103,5637,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744101,4321,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744105,4277,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744102,3485,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744202,1087,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744104,1062,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744107,953,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744112,812,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744211,783,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2019,4,pincode,744301,611,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2019\4.json
Andaman & Nicobar Islands,2020,1,district,south andaman,24174,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,district,north and middle andaman,3315,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,district,nicobars,879,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744103,6108,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744101,4689,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744105,4684,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744102,3727,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744202,1216,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744104,1154,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744107,1062,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744112,889,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744211,886,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,1,pincode,744301,669,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\1.json
Andaman & Nicobar Islands,2020,2,district,south andaman,27626,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,district,north and middle andaman,4100,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,district,nicobars,984,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744103,6804,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744105,5479,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744101,5365,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744102,4066,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744202,1475,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744104,1333,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744107,1252,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744112,1039,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744211,1036,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,2,pincode,744205,806,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\2.json
Andaman & Nicobar Islands,2020,3,district,south andaman,34833,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,district,north and middle andaman,5355,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,district,nicobars,1147,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744103,8318,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744105,7007,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744101,6881,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744102,4919,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744202,1965,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744104,1718,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744107,1710,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744112,1372,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744211,1279,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,3,pincode,744205,1008,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\3.json
Andaman & Nicobar Islands,2020,4,district,south andaman,43908,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,district,north and middle andaman,7076,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,district,nicobars,1412,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744103,10408,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744105,8962,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744101,8593,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744102,5882,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744202,2711,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744107,2346,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744104,2167,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744112,1761,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744211,1579,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2020,4,pincode,744205,1346,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2020\4.json
Andaman & Nicobar Islands,2021,1,district,south andaman,48352,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,district,north and middle andaman,7833,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,district,nicobars,1573,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744103,11416,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744105,9934,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744101,9457,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744102,6395,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744202,3005,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744107,2586,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744104,2383,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744112,1940,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744211,1774,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,1,pincode,744205,1505,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\1.json
Andaman & Nicobar Islands,2021,2,district,south andaman,51903,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,district,north and middle andaman,8493,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,district,nicobars,1699,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,pincode,744103,12268,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,pincode,744105,10668,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,pincode,744101,10120,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,pincode,744102,6837,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,pincode,744202,3261,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,pincode,744107,2783,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,pincode,744104,2573,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,pincode,744112,2083,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
Andaman & Nicobar Islands,2021,2,pincode,744211,1904,C:\Phonepe_data\pulse\data\top\user\country\india\state\andaman-&-nicobar-islands\2021\2.json
